scheme,fe_degree,refinements,h,dt,dofs,final_l2_error,final_energy_ratio,wall_time
Crank-Nicolson (theta=0.5),1,3,0.125,0.04,81,0.0488034,0.660236,0.252429
Crank-Nicolson (theta=0.5),1,3,0.125,0.02,81,0.0357343,0.811256,0.405742
Crank-Nicolson (theta=0.5),1,3,0.125,0.01,81,0.0271177,0.900416,1.18014
Crank-Nicolson (theta=0.5),1,3,0.125,0.04,81,0.0488034,0.660236,0.202451
Crank-Nicolson (theta=0.5),1,3,0.125,0.02,81,0.0357343,0.811256,0.436326
Crank-Nicolson (theta=0.5),1,3,0.125,0.01,81,0.0271177,0.900416,0.805095
Crank-Nicolson (theta=0.5),1,3,0.125,0.005,81,0.022217,0.948839,1.58514
Crank-Nicolson (theta=0.5),1,3,0.125,0.0025,81,0.0196097,0.974069,3.33719
Crank-Nicolson (theta=0.5),2,3,0.125,0.04,289,0.03496,0.662121,0.230043
Crank-Nicolson (theta=0.5),2,3,0.125,0.02,289,0.0204695,0.812445,0.46293
Crank-Nicolson (theta=0.5),2,3,0.125,0.01,289,0.0110807,0.901085,0.913009
Crank-Nicolson (theta=0.5),2,3,0.125,0.005,289,0.00577834,0.949194,1.79171
Crank-Nicolson (theta=0.5),2,3,0.125,0.0025,289,0.00296607,0.974251,3.59161
Crank-Nicolson (theta=0.5),1,4,0.0625,0.04,289,0.0384494,0.66165,0.243139
Crank-Nicolson (theta=0.5),1,4,0.0625,0.02,289,0.0243132,0.812148,0.485337
Crank-Nicolson (theta=0.5),1,4,0.0625,0.01,289,0.0151164,0.900918,0.981618
Crank-Nicolson (theta=0.5),1,4,0.0625,0.005,289,0.00991409,0.949105,1.92239
Crank-Nicolson (theta=0.5),1,4,0.0625,0.0025,289,0.00715316,0.974206,4.15951
Crank-Nicolson (theta=0.5),2,4,0.0625,0.04,1089,0.0349276,0.662126,0.437874
Crank-Nicolson (theta=0.5),2,4,0.0625,0.02,1089,0.0204338,0.812448,0.805172
Crank-Nicolson (theta=0.5),2,4,0.0625,0.01,1089,0.0110433,0.901086,1.61177
Crank-Nicolson (theta=0.5),2,4,0.0625,0.005,1089,0.00573986,0.949194,3.23612
Crank-Nicolson (theta=0.5),2,4,0.0625,0.0025,1089,0.00292682,0.974252,6.3514
Crank-Nicolson (theta=0.5),1,5,0.03125,0.04,1089,0.0358097,0.662007,0.464862
Crank-Nicolson (theta=0.5),1,5,0.03125,0.02,1089,0.0214053,0.812373,0.896137
Crank-Nicolson (theta=0.5),1,5,0.03125,0.01,1089,0.012063,0.901044,1.78315
Crank-Nicolson (theta=0.5),1,5,0.03125,0.005,1089,0.00678465,0.949172,3.75235
Crank-Nicolson (theta=0.5),1,5,0.03125,0.0025,1089,0.00398449,0.97424,7.16301
Crank-Nicolson (theta=0.5),2,5,0.03125,0.04,4225,0.0349255,0.662126,0.721944
Crank-Nicolson (theta=0.5),2,5,0.03125,0.02,4225,0.0204316,0.812448,1.32709
Crank-Nicolson (theta=0.5),2,5,0.03125,0.01,4225,0.0110409,0.901086,2.68324
Crank-Nicolson (theta=0.5),2,5,0.03125,0.005,4225,0.00573746,0.949194,5.72139
Crank-Nicolson (theta=0.5),2,5,0.03125,0.0025,4225,0.00292438,0.974252,11.0569
Crank-Nicolson (theta=0.5),1,6,0.015625,0.04,4225,0.0351467,0.662096,1.24873
Crank-Nicolson (theta=0.5),1,6,0.015625,0.02,4225,0.0206751,0.81243,2.23168
Crank-Nicolson (theta=0.5),1,6,0.015625,0.01,4225,0.0112965,0.901076,5.23007
Crank-Nicolson (theta=0.5),1,6,0.015625,0.005,4225,0.00599931,0.949189,10.2875
Crank-Nicolson (theta=0.5),1,6,0.015625,0.0025,4225,0.00318942,0.974249,17.8858
Crank-Nicolson (theta=0.5),2,6,0.015625,0.04,16641,0.0349254,0.662126,2.5426
Crank-Nicolson (theta=0.5),2,6,0.015625,0.02,16641,0.0204314,0.812448,5.72892
Crank-Nicolson (theta=0.5),2,6,0.015625,0.01,16641,0.0110408,0.901086,8.04632
Crank-Nicolson (theta=0.5),2,6,0.015625,0.005,16641,0.00573731,0.949194,16.5914
Crank-Nicolson (theta=0.5),2,6,0.015625,0.0025,16641,0.00292423,0.974252,31.8776
Backward Euler (theta=1.0),1,3,0.125,0.04,81,0.0398596,0.455099,0.21233
Backward Euler (theta=1.0),1,3,0.125,0.02,81,0.0332771,0.671466,0.438237
Backward Euler (theta=1.0),1,3,0.125,0.01,81,0.0266577,0.818942,0.826932
Backward Euler (theta=1.0),1,3,0.125,0.005,81,0.0222181,0.904886,1.65012
Backward Euler (theta=1.0),1,3,0.125,0.0025,81,0.0196732,0.951246,3.16768
Backward Euler (theta=1.0),2,3,0.125,0.04,289,0.0280038,0.459608,0.243833
Backward Euler (theta=1.0),2,3,0.125,0.02,289,0.0191972,0.674862,0.516947
Backward Euler (theta=1.0),2,3,0.125,0.01,289,0.0112635,0.821023,0.981547
Backward Euler (theta=1.0),2,3,0.125,0.005,289,0.0061136,0.906037,1.93355
Backward Euler (theta=1.0),2,3,0.125,0.0025,289,0.00319987,0.951851,3.46583
Backward Euler (theta=1.0),1,4,0.0625,0.04,289,0.0309933,0.458489,0.264538
Backward Euler (theta=1.0),1,4,0.0625,0.02,289,0.0227437,0.674021,0.523605
Backward Euler (theta=1.0),1,4,0.0625,0.01,289,0.0151383,0.820508,1.02762
Backward Euler (theta=1.0),1,4,0.0625,0.005,289,0.0101657,0.905753,2.08746
Backward Euler (theta=1.0),1,4,0.0625,0.0025,289,0.0073443,0.951702,4.20721
Backward Euler (theta=1.0),2,4,0.0625,0.04,1089,0.0279763,0.459619,0.418869
Backward Euler (theta=1.0),2,4,0.0625,0.02,1089,0.0191645,0.67487,0.81814
Backward Euler (theta=1.0),2,4,0.0625,0.01,1089,0.0112277,0.821028,1.6139
Backward Euler (theta=1.0),2,4,0.0625,0.005,1089,0.00607596,0.90604,3.21445
Backward Euler (theta=1.0),2,4,0.0625,0.0025,1089,0.00316107,0.951853,5.97335
Backward Euler (theta=1.0),1,5,0.03125,0.04,1089,0.0287321,0.459337,0.484495
Backward Euler (theta=1.0),1,5,0.03125,0.02,1089,0.0200608,0.674659,1.06416
Backward Euler (theta=1.0),1,5,0.03125,0.01,1089,0.0122067,0.820898,1.9137
Backward Euler (theta=1.0),1,5,0.03125,0.005,1089,0.00709962,0.905968,3.63324
Backward Euler (theta=1.0),1,5,0.03125,0.0025,1089,0.00420797,0.951815,7.2776
Backward Euler (theta=1.0),2,5,0.03125,0.04,4225,0.0279746,0.459619,0.682861
Backward Euler (theta=1.0),2,5,0.03125,0.02,4225,0.0191624,0.674871,1.35014
Backward Euler (theta=1.0),2,5,0.03125,0.01,4225,0.0112254,0.821028,2.72852
Backward Euler (theta=1.0),2,5,0.03125,0.005,4225,0.0060736,0.90604,5.55831
Backward Euler (theta=1.0),2,5,0.03125,0.0025,4225,0.00315866,0.951853,10.8904
Backward Euler (theta=1.0),1,6,0.015625,0.04,4225,0.0281641,0.459549,1.0809
Backward Euler (theta=1.0),1,6,0.015625,0.02,4225,0.0193871,0.674818,2.01063
Backward Euler (theta=1.0),1,6,0.015625,0.01,4225,0.0114708,0.820996,3.86145
Backward Euler (theta=1.0),1,6,0.015625,0.005,4225,0.00633016,0.906022,7.86261
Backward Euler (theta=1.0),1,6,0.015625,0.0025,4225,0.00342101,0.951843,15.4858
Backward Euler (theta=1.0),2,6,0.015625,0.04,16641,0.0279745,0.459619,2.00588
Backward Euler (theta=1.0),2,6,0.015625,0.02,16641,0.0191623,0.674871,3.96736
Backward Euler (theta=1.0),2,6,0.015625,0.01,16641,0.0112253,0.821028,8.1238
Backward Euler (theta=1.0),2,6,0.015625,0.005,16641,0.00607346,0.90604,17.0373
Backward Euler (theta=1.0),2,6,0.015625,0.0025,16641,0.00315851,0.951853,34.2698
Leapfrog (Störmer-Verlet),1,3,0.125,0.04,81,0.104805,0.971233,0.0508029
Leapfrog (Störmer-Verlet),1,3,0.125,0.02,81,0.0599544,0.971896,0.105866
Leapfrog (Störmer-Verlet),1,3,0.125,0.01,81,0.0382191,0.982595,0.207407
Leapfrog (Störmer-Verlet),1,3,0.125,0.005,81,0.0275062,0.990467,0.417142
Leapfrog (Störmer-Verlet),1,3,0.125,0.0025,81,0.0221875,0.995026,0.788978
Leapfrog (Störmer-Verlet),2,3,0.125,0.02,289,0.043631,0.967353,0.110168
Leapfrog (Störmer-Verlet),2,3,0.125,0.01,289,0.0216376,0.980423,0.245254
Leapfrog (Störmer-Verlet),2,3,0.125,0.005,289,0.0107929,0.989404,0.408402
Leapfrog (Störmer-Verlet),2,3,0.125,0.0025,289,0.0054062,0.994501,0.81402
Leapfrog (Störmer-Verlet),1,4,0.0625,0.02,289,0.0477425,0.968461,0.123419
Leapfrog (Störmer-Verlet),1,4,0.0625,0.01,289,0.0258111,0.980952,0.240901
Leapfrog (Störmer-Verlet),1,4,0.0625,0.005,289,0.014998,0.989663,0.509093
Leapfrog (Störmer-Verlet),1,4,0.0625,0.0025,289,0.00962773,0.994629,1.05452
Leapfrog (Störmer-Verlet),2,4,0.0625,0.01,1089,0.0215987,0.980418,0.31461
Leapfrog (Störmer-Verlet),2,4,0.0625,0.005,1089,0.0107538,0.989402,0.637971
Leapfrog (Störmer-Verlet),2,4,0.0625,0.0025,1089,0.00536688,0.9945,1.2567
Leapfrog (Störmer-Verlet),1,5,0.03125,0.01,1089,0.0226535,0.98055,0.480899
Leapfrog (Störmer-Verlet),1,5,0.03125,0.005,1089,0.0118163,0.989466,0.979695
Leapfrog (Störmer-Verlet),1,5,0.03125,0.0025,1089,0.00643331,0.994532,1.96231
Leapfrog (Störmer-Verlet),2,5,0.03125,0.005,4225,0.0107514,0.989401,1.56444
Leapfrog (Störmer-Verlet),2,5,0.03125,0.0025,4225,0.00536442,0.9945,2.80967
Leapfrog (Störmer-Verlet),1,6,0.015625,0.005,4225,0.0110177,0.989418,2.39784
Leapfrog (Störmer-Verlet),1,6,0.015625,0.0025,4225,0.00563169,0.994508,5.20033
Leapfrog (Störmer-Verlet),2,6,0.015625,0.0025,16641,0.00536427,0.9945,8.8425
RK4 (4th-order Runge-Kutta),1,3,0.125,0.04,81,0.0168776,0.999989,0.125787
RK4 (4th-order Runge-Kutta),1,3,0.125,0.02,81,0.0168936,1,0.261204
RK4 (4th-order Runge-Kutta),1,3,0.125,0.01,81,0.0168947,1,0.512635
RK4 (4th-order Runge-Kutta),1,3,0.125,0.005,81,0.0168947,1,1.06316
RK4 (4th-order Runge-Kutta),1,3,0.125,0.0025,81,0.0168947,1,1.96823
RK4 (4th-order Runge-Kutta),2,3,0.125,0.02,289,7.68783e-05,1,0.28324
RK4 (4th-order Runge-Kutta),2,3,0.125,0.01,289,7.7558e-05,1,0.591335
RK4 (4th-order Runge-Kutta),2,3,0.125,0.005,289,7.7585e-05,1,1.09554
RK4 (4th-order Runge-Kutta),2,3,0.125,0.0025,289,7.75862e-05,1,2.22116
RK4 (4th-order Runge-Kutta),1,4,0.0625,0.02,289,0.00428254,1,0.330514
RK4 (4th-order Runge-Kutta),1,4,0.0625,0.01,289,0.00428356,1,0.639729
RK4 (4th-order Runge-Kutta),1,4,0.0625,0.005,289,0.00428363,1,1.29176
RK4 (4th-order Runge-Kutta),1,4,0.0625,0.0025,289,0.00428363,1,2.81675
RK4 (4th-order Runge-Kutta),2,4,0.0625,0.01,1089,8.57122e-06,1,0.904304
RK4 (4th-order Runge-Kutta),2,4,0.0625,0.005,1089,8.60176e-06,1,1.72741
RK4 (4th-order Runge-Kutta),2,4,0.0625,0.0025,1089,8.60284e-06,1,3.52841
RK4 (4th-order Runge-Kutta),1,5,0.03125,0.01,1089,0.00107458,1,1.05162
RK4 (4th-order Runge-Kutta),1,5,0.03125,0.005,1089,0.00107465,1,2.12009
RK4 (4th-order Runge-Kutta),1,5,0.03125,0.0025,1089,0.00107465,1,4.27123
RK4 (4th-order Runge-Kutta),2,5,0.03125,0.005,4225,1.03636e-06,1,3.68772
RK4 (4th-order Runge-Kutta),2,5,0.03125,0.0025,4225,1.03725e-06,1,6.5758
RK4 (4th-order Runge-Kutta),1,6,0.015625,0.005,4225,0.000268892,1,5.05624
RK4 (4th-order Runge-Kutta),1,6,0.015625,0.0025,4225,0.000268896,1,10.3084
RK4 (4th-order Runge-Kutta),2,6,0.015625,0.0025,16641,1.28431e-07,1,19.8104
Crank-Nicolson (theta=0.5),1,5,0.03125,0.02,1089,0.0735817,0.68758,2.13561
Crank-Nicolson (theta=0.5),1,5,0.03125,0.01,1089,0.0380307,0.828894,4.16188
Crank-Nicolson (theta=0.5),1,5,0.03125,0.005,1089,0.0192382,0.910392,7.75556
Crank-Nicolson (theta=0.5),1,5,0.03125,0.002,1089,0.00764322,0.963138,20.9492
Backward Euler (theta=1.0),1,5,0.03125,0.02,1089,0.143539,0.455164,1.92723
Backward Euler (theta=1.0),1,5,0.03125,0.01,1089,0.0778996,0.673874,3.72111
Backward Euler (theta=1.0),1,5,0.03125,0.005,1089,0.0404863,0.820779,7.63967
Backward Euler (theta=1.0),1,5,0.03125,0.002,1089,0.0164673,0.924024,18.4021
Leapfrog (Störmer-Verlet),1,5,0.03125,0.01,1089,0.0117208,1.0399,0.883414
Leapfrog (Störmer-Verlet),1,5,0.03125,0.005,1089,0.00593256,1.01973,1.82827
Leapfrog (Störmer-Verlet),1,5,0.03125,0.002,1089,0.00250406,1.00784,4.60288
RK4 (4th-order Runge-Kutta),1,5,0.03125,0.01,1089,0.000311988,1,2.21185
RK4 (4th-order Runge-Kutta),1,5,0.03125,0.005,1089,0.000312041,1,4.71581
RK4 (4th-order Runge-Kutta),1,5,0.03125,0.002,1089,0.000312044,1,10.9811
Leapfrog (Störmer-Verlet),1,5,0.03125,0.0110485,1089,0.0146468,1.04979,0.228257
Leapfrog (Störmer-Verlet),1,5,0.03125,0.0165728,1089,0.0246026,1.07681,0.164896
Leapfrog (Störmer-Verlet),1,5,0.03125,0.0198874,1089,0.0306004,1.09373,0.128097
Leapfrog (Störmer-Verlet),1,5,0.03125,0.0209922,1089,0.0434392,1.10048,0.114535
Leapfrog (Störmer-Verlet),1,5,0.03125,0.0220971,1089,0.0524266,1.10682,0.131978
Leapfrog (Störmer-Verlet),1,5,0.03125,0.0232019,1089,0.0578051,1.11292,0.122276
Leapfrog (Störmer-Verlet),1,5,0.03125,0.0243068,1089,0.0597237,1.11888,0.114106
Leapfrog (Störmer-Verlet),1,5,0.03125,0.0265165,1089,0.0532645,1.13029,0.0911783
RK4 (4th-order Runge-Kutta),1,5,0.03125,0.0110485,1089,0.00512506,1,0.589283
RK4 (4th-order Runge-Kutta),1,5,0.03125,0.0165728,1089,0.00512524,1,0.332903
RK4 (4th-order Runge-Kutta),1,5,0.03125,0.0198874,1089,0.00512549,1,0.270757
RK4 (4th-order Runge-Kutta),1,5,0.03125,0.0209922,1089,0.00655377,1,0.32154
RK4 (4th-order Runge-Kutta),1,5,0.03125,0.0220971,1089,0.0141876,1,0.271121
RK4 (4th-order Runge-Kutta),1,5,0.03125,0.0232019,1089,0.017959,1,0.251474
RK4 (4th-order Runge-Kutta),1,5,0.03125,0.0243068,1089,0.0179588,1,0.240861
RK4 (4th-order Runge-Kutta),1,5,0.03125,0.0265165,1089,0.00655285,0.999999,0.228124
Crank-Nicolson (theta=0.5),1,6,0.015625,0.005,4225,0.00599931,0.949189,23.6832
Crank-Nicolson (theta=0.5),1,6,0.015625,0.005,4225,0.00599931,0.949189,13.2058
Crank-Nicolson (theta=0.5),1,6,0.015625,0.005,4225,0.00599931,0.949189,8.72513
Leapfrog (Störmer-Verlet),1,5,0.03125,0.0110485,1089,0.0127232,1.04424,1.00078
Leapfrog (Störmer-Verlet),1,5,0.03125,0.0165728,1089,0.0245653,1.06514,0.520273
Leapfrog (Störmer-Verlet),1,5,0.03125,0.0198874,1089,0.0313112,1.07712,0.429753
Leapfrog (Störmer-Verlet),1,5,0.03125,0.0209922,1089,0.0191203,1.08834,0.398723
Leapfrog (Störmer-Verlet),1,5,0.03125,0.0220971,1089,3.63027e+25,6.63962e+54,0.427103
Leapfrog (Störmer-Verlet),1,5,0.03125,0.0232019,1089,0.0229578,1.0976,0.388287
Leapfrog (Störmer-Verlet),1,5,0.03125,0.0243068,1089,0.0221909,1.10362,0.380435
Leapfrog (Störmer-Verlet),1,5,0.03125,0.0265165,1089,1.42459e+24,1.00944e+52,0.362657
Leapfrog (Störmer-Verlet),1,5,0.03125,0.0309359,1089,4.87889e+54,1.1838e+113,0.295526
Leapfrog (Störmer-Verlet),1,5,0.03125,0.0353553,1089,1.22775e+59,7.51161e+121,0.267297
Leapfrog (Störmer-Verlet),1,5,0.03125,0.0441942,1089,1.93142e+53,1.8361e+110,0.216718
RK4 (4th-order Runge-Kutta),1,5,0.03125,0.0110485,1089,0.000219069,1,1.95241
RK4 (4th-order Runge-Kutta),1,5,0.03125,0.0165728,1089,0.00611817,1,1.26805
RK4 (4th-order Runge-Kutta),1,5,0.03125,0.0198874,1089,0.00967072,0.999999,1.05756
RK4 (4th-order Runge-Kutta),1,5,0.03125,0.0209922,1089,0.00641693,0.999999,1.08148
RK4 (4th-order Runge-Kutta),1,5,0.03125,0.0220971,1089,0.0119865,0.999999,1.08954
RK4 (4th-order Runge-Kutta),1,5,0.03125,0.0232019,1089,0.00511968,0.999999,1.0934
RK4 (4th-order Runge-Kutta),1,5,0.03125,0.0243068,1089,0.00772691,0.999998,1.01453
RK4 (4th-order Runge-Kutta),1,5,0.03125,0.0265165,1089,0.0130652,0.999997,1.6759
RK4 (4th-order Runge-Kutta),1,5,0.03125,0.0309359,1089,0.0119808,0.999994,6.33184
RK4 (4th-order Runge-Kutta),1,5,0.03125,0.0353553,1089,0.0164809,0.999988,0.906399
RK4 (4th-order Runge-Kutta),1,5,0.03125,0.0441942,1089,0.013098,0.999964,0.944635
Crank-Nicolson / Newmark (beta=0.25, energy-conserving),1,3,0.125,0.04,81,0.0113066,1,0.137452
Crank-Nicolson / Newmark (beta=0.25, energy-conserving),1,3,0.125,0.02,81,0.0154899,1,0.282285
Crank-Nicolson / Newmark (beta=0.25, energy-conserving),1,3,0.125,0.01,81,0.0165431,1,0.605692
Crank-Nicolson / Newmark (beta=0.25, energy-conserving),1,3,0.125,0.005,81,0.0168068,1,1.2077
Crank-Nicolson / Newmark (beta=0.25, energy-conserving),1,3,0.125,0.0025,81,0.0168727,1,2.31514
Crank-Nicolson / Newmark (beta=0.25, energy-conserving),2,3,0.125,0.04,289,0.00555874,1,0.199967
Crank-Nicolson / Newmark (beta=0.25, energy-conserving),2,3,0.125,0.02,289,0.00136663,1,0.321152
Crank-Nicolson / Newmark (beta=0.25, energy-conserving),2,3,0.125,0.01,289,0.000317294,1,0.705316
Crank-Nicolson / Newmark (beta=0.25, energy-conserving),2,3,0.125,0.005,289,8.03871e-05,1,1.48853
Crank-Nicolson / Newmark (beta=0.25, energy-conserving),2,3,0.125,0.0025,289,6.83935e-05,1,2.90696
Crank-Nicolson / Newmark (beta=0.25, energy-conserving),1,4,0.0625,0.04,289,0.00135442,1,0.181054
Crank-Nicolson / Newmark (beta=0.25, energy-conserving),1,4,0.0625,0.02,289,0.00288071,1,0.35006
Crank-Nicolson / Newmark (beta=0.25, energy-conserving),1,4,0.0625,0.01,289,0.0039322,1,0.735925
Crank-Nicolson / Newmark (beta=0.25, energy-conserving),1,4,0.0625,0.005,289,0.00419573,1,1.42784
Crank-Nicolson / Newmark (beta=0.25, energy-conserving),1,4,0.0625,0.0025,289,0.00426165,1,2.58867
Crank-Nicolson / Newmark (beta=0.25, energy-conserving),2,4,0.0625,0.04,1089,0.00559726,1,0.258648
Crank-Nicolson / Newmark (beta=0.25, energy-conserving),2,4,0.0625,0.02,1089,0.00140406,1,0.507265
Crank-Nicolson / Newmark (beta=0.25, energy-conserving),2,4,0.0625,0.01,1089,0.000349562,1,1.07546
Crank-Nicolson / Newmark (beta=0.25, energy-conserving),2,4,0.0625,0.005,1089,8.58194e-05,1,2.0897
Crank-Nicolson / Newmark (beta=0.25, energy-conserving),2,4,0.0625,0.0025,1089,2.10577e-05,1,4.50435
Crank-Nicolson / Newmark (beta=0.25, energy-conserving),1,5,0.03125,0.04,1089,0.00452838,1,0.263661
Crank-Nicolson / Newmark (beta=0.25, energy-conserving),1,5,0.03125,0.02,1089,0.000341052,1,0.539954
Crank-Nicolson / Newmark (beta=0.25, energy-conserving),1,5,0.03125,0.01,1089,0.000723577,1,1.18701
Crank-Nicolson / Newmark (beta=0.25, energy-conserving),1,5,0.03125,0.005,1089,0.000986787,1,2.3717
Crank-Nicolson / Newmark (beta=0.25, energy-conserving),1,5,0.03125,0.0025,1089,0.00105268,1,4.60363
Crank-Nicolson / Newmark (beta=0.25, energy-conserving),2,5,0.03125,0.04,4225,0.0055997,1,0.442677
Crank-Nicolson / Newmark (beta=0.25, energy-conserving),2,5,0.03125,0.02,4225,0.00140649,1,0.821924
Crank-Nicolson / Newmark (beta=0.25, energy-conserving),2,5,0.03125,0.01,4225,0.00035192,1,1.66493
Crank-Nicolson / Newmark (beta=0.25, energy-conserving),2,5,0.03125,0.005,4225,8.78889e-05,1,3.28114
Crank-Nicolson / Newmark (beta=0.25, energy-conserving),2,5,0.03125,0.0025,4225,2.18735e-05,1,6.57591
Crank-Nicolson / Newmark (beta=0.25, energy-conserving),1,6,0.015625,0.04,4225,0.00533166,1,0.493843
Crank-Nicolson / Newmark (beta=0.25, energy-conserving),1,6,0.015625,0.02,4225,0.00113845,1,0.969977
Crank-Nicolson / Newmark (beta=0.25, energy-conserving),1,6,0.015625,0.01,4225,8.54168e-05,1,2.18333
Crank-Nicolson / Newmark (beta=0.25, energy-conserving),1,6,0.015625,0.005,4225,0.000181107,1,4.01171
Crank-Nicolson / Newmark (beta=0.25, energy-conserving),1,6,0.015625,0.0025,4225,0.00024693,1,8.09495
Crank-Nicolson / Newmark (beta=0.25, energy-conserving),2,6,0.015625,0.04,16641,0.00559985,1,1.06776
Crank-Nicolson / Newmark (beta=0.25, energy-conserving),2,6,0.015625,0.02,16641,0.00140664,1,2.18066
Crank-Nicolson / Newmark (beta=0.25, energy-conserving),2,6,0.015625,0.01,16641,0.000352072,1,4.36854
Crank-Nicolson / Newmark (beta=0.25, energy-conserving),2,6,0.015625,0.005,16641,8.80366e-05,1,8.50918
Crank-Nicolson / Newmark (beta=0.25, energy-conserving),2,6,0.015625,0.0025,16641,2.20035e-05,1,16.8861
Newmark (beta=0.5, dissipative),1,3,0.125,0.04,81,0.00315108,1.00743,0.16356
Newmark (beta=0.5, dissipative),1,3,0.125,0.02,81,0.0133907,1.00188,0.306704
Newmark (beta=0.5, dissipative),1,3,0.125,0.01,81,0.016016,1.00047,0.607996
Newmark (beta=0.5, dissipative),1,3,0.125,0.005,81,0.0166749,1.00012,1.13913
Newmark (beta=0.5, dissipative),1,3,0.125,0.0025,81,0.0168398,1.00003,2.19294
Newmark (beta=0.5, dissipative),2,3,0.125,0.04,289,0.0138482,1.00721,0.161326
Newmark (beta=0.5, dissipative),2,3,0.125,0.02,289,0.00346878,1.00183,0.343342
Newmark (beta=0.5, dissipative),2,3,0.125,0.01,289,0.000840668,1.00046,0.64344
Newmark (beta=0.5, dissipative),2,3,0.125,0.005,289,0.000190164,1.00011,1.28566
Newmark (beta=0.5, dissipative),2,3,0.125,0.0025,289,6.69379e-05,1.00003,2.54949
Newmark (beta=0.5, dissipative),1,4,0.0625,0.04,289,0.00962368,1.00727,0.175735
Newmark (beta=0.5, dissipative),1,4,0.0625,0.02,289,0.000810949,1.00184,0.340754
Newmark (beta=0.5, dissipative),1,4,0.0625,0.01,289,0.00340579,1.00046,0.670799
Newmark (beta=0.5, dissipative),1,4,0.0625,0.005,289,0.00406393,1.00012,1.31243
Newmark (beta=0.5, dissipative),1,4,0.0625,0.0025,289,0.00422869,1.00003,2.72529
Newmark (beta=0.5, dissipative),2,4,0.0625,0.04,1089,0.0138867,1.00721,0.283292
Newmark (beta=0.5, dissipative),2,4,0.0625,0.02,1089,0.00350711,1.00183,0.531743
Newmark (beta=0.5, dissipative),2,4,0.0625,0.01,1089,0.000877195,1.00046,1.06354
Newmark (beta=0.5, dissipative),2,4,0.0625,0.005,1089,0.000217627,1.00011,2.28447
Newmark (beta=0.5, dissipative),2,4,0.0625,0.0025,1089,5.30491e-05,1.00003,4.18129
Newmark (beta=0.5, dissipative),1,5,0.03125,0.04,1089,0.0128184,1.00723,0.29895
Newmark (beta=0.5, dissipative),1,5,0.03125,0.02,1089,0.00243846,1.00183,0.60462
Newmark (beta=0.5, dissipative),1,5,0.03125,0.01,1089,0.000204214,1.00046,1.13151
Newmark (beta=0.5, dissipative),1,5,0.03125,0.005,1089,0.000855091,1.00011,2.31584
Newmark (beta=0.5, dissipative),1,5,0.03125,0.0025,1089,0.00101973,1.00003,4.82491
Newmark (beta=0.5, dissipative),2,5,0.03125,0.04,4225,0.0138892,1.00721,0.473469
